model-1584439913,1584439918.889,0.58,0.2447,0.6,0.2408,0
model-1584439913,1584439918.937,0.52,0.2498,0.59,0.241,0
model-1584439913,1584439918.982,0.49,0.2489,0.6,0.2407,0
model-1584439913,1584439919.03,0.59,0.2397,0.6,0.2401,0
model-1584439913,1584439919.075,0.5,0.25,0.6,0.2395,0
model-1584439913,1584439919.119,0.55,0.2475,0.65,0.2389,0
model-1584439913,1584439919.167,0.49,0.249,0.65,0.2388,0
model-1584439913,1584439919.213,0.58,0.2437,0.65,0.2385,0
model-1584439913,1584439919.26,0.46,0.2506,0.65,0.2384,0
model-1584439913,1584439919.308,0.59,0.2444,0.65,0.2376,0
model-1584439913,1584439919.353,0.53,0.2417,0.66,0.2366,0
model-1584439913,1584439919.398,0.49,0.2451,0.64,0.2359,0
model-1584439913,1584439919.447,0.48,0.2447,0.63,0.2354,0
model-1584439913,1584439919.494,0.65,0.2344,0.65,0.233,0
model-1584439913,1584439919.539,0.56,0.243,0.65,0.2313,0
model-1584439913,1584439919.588,0.53,0.2427,0.64,0.2302,0
model-1584439913,1584439919.635,0.57,0.2477,0.66,0.2312,0
model-1584439913,1584439919.68,0.6,0.239,0.65,0.2337,0
model-1584439913,1584439919.731,0.61,0.2473,0.59,0.2366,0
model-1584439913,1584439919.782,0.46,0.2587,0.61,0.2366,0
model-1584439913,1584439919.827,0.59,0.2409,0.64,0.2336,0
model-1584439913,1584439919.876,0.62,0.2501,0.66,0.2292,0
model-1584439913,1584439919.921,0.68,0.2247,0.62,0.2345,0
model-1584439913,1584439919.965,0.53,0.2447,0.63,0.2342,0
model-1584439913,1584439920.014,0.5,0.2505,0.63,0.2285,0
model-1584439913,1584439920.06,0.54,0.2529,0.64,0.2329,0
model-1584439913,1584439920.106,0.65,0.2379,0.51,0.2418,0
model-1584439913,1584439920.158,0.51,0.2462,0.45,0.2473,0
model-1584439913,1584439920.203,0.42,0.2588,0.46,0.2491,0
model-1584439913,1584439920.248,0.51,0.238,0.46,0.2496,0
model-1584439913,1584439920.296,0.51,0.2435,0.46,0.2494,0
model-1584439913,1584439920.341,0.49,0.2481,0.46,0.249,0
model-1584439913,1584439920.385,0.47,0.2519,0.46,0.2482,0
model-1584439913,1584439920.433,0.41,0.2661,0.46,0.2473,0
model-1584439913,1584439920.479,0.49,0.2488,0.46,0.2466,0
model-1584439913,1584439920.523,0.51,0.2411,0.46,0.2462,0
model-1584439913,1584439920.572,0.55,0.2413,0.46,0.2459,0
model-1584439913,1584439920.617,0.5,0.2442,0.46,0.2457,0
model-1584439913,1584439920.662,0.43,0.2491,0.46,0.2455,0
model-1584439913,1584439920.713,0.56,0.2438,0.46,0.2453,0
model-1584439913,1584439920.772,0.56,0.2476,0.46,0.2451,0
model-1584439913,1584439920.821,0.48,0.2499,0.47,0.245,0
model-1584439913,1584439920.869,0.57,0.2439,0.52,0.2448,0
model-1584439913,1584439920.915,0.51,0.2499,0.56,0.2447,0
model-1584439913,1584439920.96,0.62,0.2505,0.58,0.2446,0
model-1584439913,1584439921.01,0.56,0.2469,0.58,0.2444,0
model-1584439913,1584439921.055,0.47,0.2539,0.58,0.2443,0
model-1584439913,1584439921.1,0.61,0.2458,0.62,0.244,0
model-1584439913,1584439921.149,0.59,0.2416,0.62,0.2433,0
model-1584439913,1584439921.194,0.47,0.2494,0.62,0.2427,0
model-1584439913,1584439921.239,0.43,0.2499,0.63,0.2423,0
model-1584439913,1584439921.29,0.54,0.2454,0.63,0.2416,0
model-1584439913,1584439921.336,0.53,0.244,0.63,0.2406,0
model-1584439913,1584439921.382,0.51,0.2471,0.63,0.2397,0
model-1584439913,1584439921.432,0.56,0.2455,0.63,0.2386,0
model-1584439913,1584439921.477,0.53,0.2449,0.63,0.2373,0
model-1584439913,1584439921.521,0.57,0.2456,0.63,0.2358,0
model-1584439913,1584439921.568,0.5,0.2504,0.64,0.2344,0
model-1584439913,1584439921.613,0.54,0.2465,0.64,0.2332,0
model-1584439913,1584439921.659,0.52,0.2478,0.64,0.2324,0
model-1584439913,1584439921.708,0.5,0.2481,0.64,0.2321,0
model-1584439913,1584439921.753,0.56,0.2389,0.66,0.2312,0
model-1584439913,1584439921.803,0.47,0.2495,0.67,0.2311,0
model-1584439913,1584439921.854,0.57,0.2469,0.66,0.2314,0
model-1584439913,1584439921.9,0.62,0.237,0.68,0.2305,0
model-1584439913,1584439921.948,0.62,0.2314,0.67,0.2291,0
model-1584439913,1584439921.996,0.61,0.2408,0.67,0.2279,0
model-1584439913,1584439922.04,0.53,0.2454,0.67,0.227,0
model-1584439913,1584439922.085,0.59,0.236,0.68,0.2263,0
model-1584439913,1584439922.133,0.64,0.2329,0.66,0.2255,0
model-1584439913,1584439922.178,0.66,0.2306,0.66,0.2231,0
model-1584439913,1584439922.223,0.59,0.2452,0.66,0.2222,0
model-1584439913,1584439922.272,0.52,0.2582,0.68,0.2234,0
model-1584439913,1584439922.319,0.65,0.2361,0.69,0.223,0
model-1584439913,1584439922.364,0.59,0.2274,0.71,0.2219,0
model-1584439913,1584439922.416,0.59,0.2308,0.67,0.2216,0
model-1584439913,1584439922.462,0.64,0.2346,0.65,0.2213,0
model-1584439913,1584439922.506,0.61,0.2288,0.62,0.2224,0
model-1584439913,1584439922.555,0.53,0.2559,0.63,0.2235,0
model-1584439913,1584439922.599,0.55,0.2661,0.66,0.2263,0
model-1584439913,1584439922.645,0.63,0.2313,0.59,0.2307,0
model-1584439913,1584439922.694,0.61,0.2289,0.59,0.2346,0
model-1584439913,1584439922.74,0.57,0.2405,0.56,0.2382,0
model-1584439913,1584439922.785,0.51,0.2578,0.55,0.2402,0
model-1584439913,1584439922.839,0.5,0.2449,0.54,0.2404,0
model-1584439913,1584439922.883,0.54,0.2481,0.58,0.2395,0
model-1584439913,1584439922.929,0.56,0.238,0.59,0.2362,0
model-1584439913,1584439922.98,0.57,0.2361,0.6,0.2312,0
model-1584439913,1584439923.025,0.57,0.2359,0.64,0.2298,0
model-1584439913,1584439923.071,0.47,0.262,0.61,0.2295,0
model-1584439913,1584439923.12,0.66,0.2219,0.65,0.2278,0
model-1584439913,1584439923.166,0.62,0.2438,0.68,0.2261,0
model-1584439913,1584439923.212,0.56,0.2439,0.63,0.2286,0
model-1584439913,1584439923.262,0.59,0.2385,0.6,0.2333,0
model-1584439913,1584439923.308,0.63,0.2336,0.59,0.2357,0
model-1584439913,1584439923.353,0.58,0.2436,0.58,0.2371,0
model-1584439913,1584439923.402,0.62,0.2404,0.59,0.2367,0
model-1584439913,1584439923.448,0.67,0.2196,0.59,0.2375,0
model-1584439913,1584439923.493,0.63,0.2249,0.59,0.2354,0
model-1584439913,1584439923.542,0.56,0.247,0.59,0.2321,0
model-1584439913,1584439923.587,0.71,0.2243,0.66,0.228,0
model-1584439913,1584439923.632,0.55,0.2472,0.66,0.2259,0
model-1584439913,1584439923.681,0.51,0.253,0.66,0.2244,0
model-1584439913,1584439923.724,0.6,0.2342,0.64,0.2239,0
model-1584439913,1584439923.768,0.62,0.2287,0.67,0.2257,0
model-1584439913,1584439923.816,0.54,0.242,0.59,0.2317,0
model-1584439913,1584439923.867,0.65,0.2302,0.59,0.2317,0
model-1584439913,1584439923.915,0.63,0.2329,0.62,0.2298,0
model-1584439913,1584439923.966,0.58,0.2483,0.65,0.2291,0
model-1584439913,1584439924.012,0.64,0.2293,0.64,0.2289,0
model-1584439913,1584439924.058,0.62,0.2347,0.64,0.2293,0
model-1584439913,1584439924.107,0.67,0.2281,0.64,0.2286,0
model-1584439913,1584439924.153,0.61,0.2354,0.65,0.2276,0
model-1584439913,1584439924.199,0.63,0.2334,0.67,0.2262,0
model-1584439913,1584439924.248,0.64,0.2333,0.67,0.2252,0
model-1584439913,1584439924.282,0.67,0.2306,0.67,0.2245,0
model-1584439913,1584439924.334,0.63,0.212,0.63,0.225,1
model-1584439913,1584439924.379,0.63,0.2315,0.65,0.2242,1
model-1584439913,1584439924.422,0.66,0.2256,0.64,0.2253,1
model-1584439913,1584439924.471,0.62,0.2129,0.62,0.2291,1
model-1584439913,1584439924.517,0.57,0.2474,0.57,0.2353,1
model-1584439913,1584439924.561,0.55,0.2416,0.62,0.226,1
model-1584439913,1584439924.618,0.54,0.2508,0.66,0.2232,1
model-1584439913,1584439924.666,0.57,0.248,0.66,0.2225,1
model-1584439913,1584439924.716,0.65,0.2348,0.66,0.2219,1
model-1584439913,1584439924.762,0.67,0.2415,0.65,0.2221,1
model-1584439913,1584439924.806,0.67,0.2245,0.62,0.2275,1
model-1584439913,1584439924.862,0.62,0.2262,0.56,0.2339,1
model-1584439913,1584439924.909,0.61,0.2427,0.58,0.2372,1
model-1584439913,1584439924.958,0.65,0.2257,0.58,0.2385,1
model-1584439913,1584439925.003,0.61,0.2368,0.56,0.2332,1
model-1584439913,1584439925.048,0.61,0.2357,0.62,0.2259,1
model-1584439913,1584439925.096,0.67,0.2246,0.66,0.2215,1
model-1584439913,1584439925.141,0.65,0.2249,0.65,0.2207,1
model-1584439913,1584439925.185,0.65,0.2223,0.64,0.221,1
model-1584439913,1584439925.233,0.61,0.2392,0.64,0.2211,1
model-1584439913,1584439925.278,0.59,0.2442,0.63,0.2208,1
model-1584439913,1584439925.322,0.55,0.248,0.67,0.2218,1
model-1584439913,1584439925.37,0.61,0.2438,0.67,0.2266,1
model-1584439913,1584439925.415,0.57,0.2363,0.59,0.2332,1
model-1584439913,1584439925.459,0.66,0.222,0.56,0.2389,1
model-1584439913,1584439925.508,0.49,0.2531,0.58,0.2373,1
model-1584439913,1584439925.554,0.54,0.2558,0.59,0.2332,1
model-1584439913,1584439925.602,0.76,0.2124,0.6,0.2311,1
model-1584439913,1584439925.652,0.66,0.2227,0.65,0.228,1
model-1584439913,1584439925.698,0.67,0.2285,0.66,0.2244,1
model-1584439913,1584439925.744,0.68,0.2197,0.63,0.2221,1
model-1584439913,1584439925.793,0.61,0.2335,0.63,0.2215,1
model-1584439913,1584439925.847,0.6,0.2452,0.64,0.2209,1
model-1584439913,1584439925.898,0.68,0.2327,0.66,0.2205,1
model-1584439913,1584439925.951,0.68,0.2153,0.64,0.2207,1
model-1584439913,1584439925.997,0.67,0.2189,0.65,0.2218,1
